AGMAT	 FAM50B,NONO,SF3B3,SF3B5,SRSF11,MCAT,SART3,SERPINH1,SNRPA
DDI2	 PGP,OATP1,STX1A,BAG3,STX1B,DDI2,PSMD2,EGF,PSMA2,FAM129B
RSC1A1	 NAA38,UBC
PLEKHM2	 SLC39A1,RAB9A,MKNK2,KIF5B,KLC1,AP1B1,RPL19
SLC25A34	 ABCA1
TMEM82	 WNT3,WNT2,WNT1,WNT6,WNT4,WNT16,WNT11
FBLIM1	 FERMT2,FLNA,FLNB,FLNC,VASP
SPEN	 RBPJ,NCOR2,RBBP8,CTBP1,ATXN1,HDAC1,NCOR1,HRSP12,RARA,SPEN
ZBTB17	 DNMT3A,DIS3,HK3,MYC,CDKN1A,HCFC1,TOPBP1,EP300,PGR,HK2
C1orf64	 APP
HSPB7	 HSPB8,APP
CLCNKA	 MAZ,CLCA3P,FXYD3,GABRR1,GABRG1,GABRR3,ANO2,BSND,CLCNKA,GABRA6
CLCNKB	 BSND
FAM131C	 DNAJA3,VSNL1,MAD1L1,GRN,EWSR1,APP,CTTNBP2NL
EPHA2	 EFNA1,GRB2,MAPK3,EFNA2,PTK2,MAPK1,MAPK13,MAPK7,MAPK14,MAPK15
ARHGEF19	 DAAM1,RHOA,DVL1,UBC,RAC1
RSG1	 FUZ,TMEM14C,MSLN
FBXO42	 NEDD8,SMURF1,TP53,SKP1,UBC,COPS6,RHOB,RBX1,CUL1
SZRD1	 EHD4,UBC,ZPR1,SRP9,NT5C2,SRP14,LEPRE1,MTMR2
SPATA21	 CAND1
NECAP2	 NMI,TRAF2,EPS15,AP2B1,PLSCR1,AP2M1,AP1B1,AP2A1,AP2A2,COPB1
NBPF1	 UBC
CROCCP2	 TFAP2C
CROCC	 HDAC8,RNF152,ADD3,DYNLL2,IQCB1,PUF60,GIPC1,CCNT1,PRPF3,ARHGEF2
MFAP2	 FBN1,BGN,COL4A3,ELN,NOTCH1,HIST1H4A,HSPG2,MFAP5,MFAP4,MFAP3
ATP13A2	 PCMTD2,SPCS2,HDAC6,YIF1A,HSPA8,TSPAN14,HIPK1,WDR5B,UBE2J2,FKBP8
SDHB	 SDHA,PIK3R5,GEM,UQCRFS1,PMS1,PMS2,SPRY2,ABCA1,ATP6V1D,GRHPR
PADI2	 CA2,UBC
PADI1	 CA2,UBC
PADI3	 CA2,MAP1LC3A
